[2025-10-22 16:21:57.737035] pH 7.70 | NH3 17.03 ppm | Temp 24.94 °C
[2025-10-22 16:22:01.815281] pH 7.59 | NH3 17.17 ppm | Temp 24.94 °C
[2025-10-22 16:22:05.890114] pH 7.60 | NH3 17.14 ppm | Temp 24.94 °C
[2025-10-22 16:22:09.969440] pH 7.69 | NH3 16.89 ppm | Temp 24.94 °C
[2025-10-22 16:22:14.041809] pH 7.62 | NH3 16.76 ppm | Temp 24.94 °C
[2025-10-22 16:22:18.125408] pH 7.57 | NH3 16.90 ppm | Temp 24.94 °C
[2025-10-22 16:22:22.219790] pH 7.66 | NH3 16.92 ppm | Temp 24.94 °C
[2025-10-22 16:22:26.289317] pH 7.70 | NH3 16.85 ppm | Temp 24.94 °C
[2025-10-22 16:22:30.380262] pH 7.61 | NH3 16.86 ppm | Temp 24.94 °C
[2025-10-22 16:22:34.455590] pH 7.59 | NH3 16.78 ppm | Temp 24.94 °C
[2025-10-22 16:22:38.535130] pH 7.58 | NH3 16.73 ppm | Temp 24.94 °C
[2025-10-22 16:22:42.610341] pH 7.57 | NH3 16.82 ppm | Temp 24.94 °C
[2025-10-22 16:22:46.685694] pH 7.58 | NH3 16.63 ppm | Temp 24.94 °C
[2025-10-22 16:22:50.761174] pH 7.58 | NH3 16.48 ppm | Temp 24.94 °C
[2025-10-22 16:22:54.842220] pH 7.58 | NH3 16.52 ppm | Temp 24.94 °C
[2025-10-22 16:22:58.929403] pH 7.58 | NH3 16.29 ppm | Temp 24.94 °C
[2025-10-22 16:23:03.011670] pH 7.59 | NH3 16.20 ppm | Temp 24.88 °C
[2025-10-22 16:23:07.097996] pH 7.59 | NH3 16.43 ppm | Temp 24.94 °C
[2025-10-22 16:23:11.174909] pH 7.60 | NH3 16.55 ppm | Temp 24.88 °C
[2025-10-22 16:23:15.259171] pH 7.60 | NH3 16.57 ppm | Temp 24.94 °C
[2025-10-22 16:23:19.330267] pH 7.64 | NH3 16.28 ppm | Temp 24.94 °C
[2025-10-22 16:23:23.410440] pH 7.68 | NH3 16.32 ppm | Temp 24.94 °C
[2025-10-22 16:23:27.482377] pH 7.69 | NH3 16.29 ppm | Temp 24.88 °C
[2025-10-22 16:23:31.580008] pH 7.68 | NH3 16.40 ppm | Temp 24.94 °C
[2025-10-22 16:23:35.657617] pH 7.66 | NH3 16.27 ppm | Temp 24.94 °C
[2025-10-22 16:23:39.730773] pH 7.63 | NH3 16.20 ppm | Temp 24.94 °C
[2025-10-22 16:23:43.817944] pH 7.60 | NH3 16.19 ppm | Temp 24.94 °C
[2025-10-22 16:23:47.884037] pH 7.58 | NH3 16.20 ppm | Temp 24.94 °C
[2025-10-22 16:23:51.967076] pH 7.59 | NH3 16.13 ppm | Temp 24.94 °C
[2025-10-22 16:23:56.050238] pH 7.61 | NH3 16.16 ppm | Temp 24.94 °C
[2025-10-22 16:24:00.130182] pH 7.68 | NH3 16.38 ppm | Temp 24.94 °C
[2025-10-22 16:24:04.219593] pH 7.68 | NH3 16.29 ppm | Temp 24.94 °C
[2025-10-22 16:24:08.289430] pH 7.67 | NH3 16.35 ppm | Temp 24.94 °C
[2025-10-22 16:24:12.382698] pH 7.64 | NH3 16.30 ppm | Temp 24.94 °C
[2025-10-22 16:24:16.461937] pH 7.60 | NH3 16.25 ppm | Temp 24.94 °C
[2025-10-22 16:24:20.527834] pH 7.58 | NH3 16.20 ppm | Temp 24.94 °C
[2025-10-22 16:24:24.622676] pH 7.60 | NH3 16.21 ppm | Temp 24.94 °C
[2025-10-22 16:24:28.689706] pH 7.61 | NH3 16.08 ppm | Temp 24.88 °C
[2025-10-22 16:24:32.796771] pH 7.60 | NH3 15.93 ppm | Temp 24.94 °C
[2025-10-22 16:24:36.852547] pH 7.69 | NH3 16.00 ppm | Temp 24.94 °C
[2025-10-22 16:24:40.926257] pH 7.66 | NH3 16.21 ppm | Temp 24.94 °C
[2025-10-22 16:24:45.006092] pH 7.61 | NH3 16.04 ppm | Temp 24.94 °C
[2025-10-22 16:24:49.092372] pH 7.59 | NH3 16.19 ppm | Temp 24.94 °C
[2025-10-22 16:24:53.177720] pH 7.60 | NH3 16.00 ppm | Temp 24.94 °C
[2025-10-22 16:24:57.241698] pH 7.61 | NH3 16.29 ppm | Temp 24.88 °C
[2025-10-22 16:25:01.330473] pH 7.67 | NH3 16.35 ppm | Temp 24.94 °C
[2025-10-22 16:25:05.412599] pH 7.68 | NH3 16.19 ppm | Temp 24.94 °C
